muon_energy_at_detector,q_tot,muon_zenith,muon_azimuth,muon_time,muon_pos_x,muon_pos_y,muon_pos_z,spline_mpe_zenith,spline_mpe_azimuth,spline_mpe_time,spline_mpe_pos_x,spline_mpe_pos_y,spline_mpe_pos_z,linefit_zenith,linefit_azimuth,linefit_time,linefit_pos_x,linefit_pos_y,linefit_pos_z,reco_logl,reco_zenith,reco_azimuth,reco_pos_x,reco_pos_y,reco_pos_z,reco_time
3527.589982845602,92.14999961853027,2.9475699692920716,4.005203634784005,1220.4817206636071,-380.4860026710667,55.13372996589169,-2989.6176320798695,2.965524747631681,4.02716403239056,11515.950095052069,7.4827465863261295,505.7082222054387,36.255875990776076,3.016598925683478,4.06398232815208,11695.078742334641,8.387672630485802,491.9813702290282,33.276628616908155,914.753311975061,2.9531452371417375,4.031867762089191,4.797491246777586,507.73318485983003,35.117148851325005,11500.341900229378
9372.807963603875,287.75000247359276,2.287438538979619,5.127815320227262,-4094.6153221204877,1641.4461167112458,-3296.9253300409764,-2937.1339693814516,2.286308775863626,5.131488297179505,11774.137062088477,194.77539582987856,-15.874516534320946,188.9053093723228,2.287093465916623,5.118173476336416,11893.681472272747,190.04727459745737,-20.29246933167326,187.4571217865978,696.3185975775901,2.2874033330635344,5.13066799673165,192.10779661529295,-9.63579369371007,194.53130539487827,11804.20778806222
9601.3810860113,159.10000038146973,2.626402077746052,5.778290479021154,-4058.99133374542,2031.4533713378478,-576.3290668518166,-4097.157862166874,2.616683168653373,5.780456083313851,10200.03233347227,186.72142876717226,442.5216695349595,-377.31323013552424,2.7749879461366227,6.1955305108660745,10501.035354181171,193.74293170513295,429.727457802995,-376.8216692972803,791.1912288182328,2.615278692630413,5.775531100160415,183.8398659279013,443.0560721731344,-373.7577286118921,10211.561669970644
1770.4330030977726,95.65000014007092,2.4063668063469774,4.954286339329318,-4758.041130196303,926.0873211517173,-3054.8446183466585,-3751.277517598239,2.408906251280665,4.960347991036906,11598.12153921767,137.68137619537947,136.9546787261902,-114.74607902737148,2.392433514836834,4.93911147584549,12056.426054397642,140.09901248661802,156.57895349281125,-76.79720720842465,752.9348496901617,2.408731786384062,4.961500694059385,117.933489380337,213.3181301167484,-28.349483721402834,11988.005001766061
2294.0494127207567,55.87500001490116,2.6817314706919197,2.4401770321083873,-472.87554881721735,-953.5339022420812,1178.3637373310048,-3216.342424551025,2.678574052116013,2.4170446782647157,11745.644803440646,287.12438671776863,131.24293766069877,64.3522090608385,2.6368389595715582,2.4429758356072115,12195.111148883481,288.8501401423347,132.86515398190542,61.15734252011936,819.1829277314414,2.6803806527015412,2.422409676740299,313.40544726713955,107.71366645677844,132.5407140491443,12000.37430677822
4618.790418851546,107.95000058412552,1.7705955990436448,4.614625853187305,-14889.418125394732,-458.3823134294653,-7672.366385913454,-1352.6476630972466,1.7679813269806868,4.61264331768453,11488.18249612982,296.7390548152398,40.91576239531969,216.8047707891742,1.762209886013008,4.607895162443942,11763.912442409384,291.2630967410348,36.10413248984592,222.09424765209312,726.5626318763068,1.7683555257828008,4.612581268051811,299.2434883293971,58.899159565304,220.48540814150704,11548.122968725173
3378.4089209248777,52.0999998152256,2.427864982035039,1.7476443167885876,-2578.1156884394586,-77.45469902895275,2532.061898775981,-3214.8744841982843,2.42397262582394,1.7456426792522524,10553.203878076672,374.9356263929294,-2.752847325197081,-238.57049010125297,2.427506359834162,1.7711867313201544,10984.81122516231,383.36061791215093,7.181817093686532,-238.71391551082718,907.5748135239875,2.425417828685525,1.7469212242625287,379.48982129321575,-28.670182860211213,-209.18106339890898,10684.81122516231
1640.4391303570155,91.3500008136034,2.610372483840923,4.061042189738818,-8161.936600849032,-1672.6291444231756,-2332.783491485752,-5071.297280845232,2.61036211678149,4.0667481316692164,10789.309171134233,71.30358153992347,-45.06092374398395,-173.3182253229229,2.6043602924249387,4.073503773480017,11652.331868817333,118.3424141015521,23.305664347077105,-21.712684924955003,755.018869456869,2.6103480370248713,4.062733340720255,141.4915907935547,47.811474916927146,24.015443156335206,11552.331868817335
3179.7126227287436,166.85000072419643,2.819544360714717,1.5742597575838246,7932.121295154095,-272.3237254003725,597.8502740869299,-902.8826162107289,2.809139354800295,1.5435669826161051,10570.78660111718,-265.70012859889835,347.1503951712548,-151.82035358872918,2.8244659347368057,1.5173493508750429,10703.392298407525,-268.4224651814244,347.46268980994273,-154.6595784384156,987.0872563584138,2.811860093286136,1.6015767598058903,-273.4789709444994,350.92526560073935,-162.85332036773877,10529.708087881208
9929.287951371924,126.64999994635582,2.6029493157532033,4.724224361867643,-4714.465709038079,326.4203614229209,-1963.0637100653257,-4207.797371360473,2.6087875866655073,4.711905627002679,10412.116390404319,298.2912908150038,363.11311688589376,-314.20199647584855,2.7709251498064518,4.7416714848752965,10619.27650867254,301.60169758460955,355.8678687026727,-313.2541919715786,902.2921867192963,2.6057114290552716,4.715687349416715,298.2479302700415,365.2757693516878,-311.1824250658175,10424.539666567276
5665.460404325277,63.00000041723251,2.4187880776475392,4.140967895679141,-6821.28970316425,-1695.1638488880126,-2562.3811494119,-4235.454550264403,2.4086332272498403,4.194314717734075,10245.311820930927,133.63545581924882,282.2137968051911,-395.30996554615444,2.181632514803158,4.272878517380359,10830.223929416465,143.5091573443199,285.14948095093547,-351.1733314895803,964.8573630148271,2.41261538939703,4.150681075145391,177.26789286024825,349.99480888197616,-307.6133429077354,10646.013403100675
