event_id,neutrino_energy,muon_energy
0,11.081593539168134,5.221136212473537
1,8.047758997140729,1.4254129781489455
2,163.3964685326343,5.937374563629916
3,12.21478864313242,1.4268918097273404
4,31.777103012967142,3.9036301751826334
5,48.620005076264896,6.986870942242438
6,3.6489485397255437,3.6489485397255437
7,107.04422722928668,8.327086577157287
8,4.28891918418155,4.28891918418155
9,88.02810619457814,1.234799209660603
10,10.078466885458909,5.275078655098103
11,6.523231796344316,4.856506660785472
12,9.902934521091918,9.902934521091918
13,11.110080927000691,2.0479446274945055
14,13.096190219257878,7.211643331702909
15,18.641750190680504,9.695564233182756
16,454.9840904205247,1.4611912002276513
17,19.139720299445074,2.7389208916863717
18,6.821131568106161,6.821131568106161
19,36.44359643849394,4.760261687522829
20,28.262419762323717,5.552907407148188
21,15.637904907638855,1.7787287640183969
22,12.443876277671396,4.652302160276147
23,24.046392631167166,9.704863090988725
24,24.02516096514945,6.40016656027767
25,4.395424083268963,4.395424083268963
26,43.14616386401753,8.690917646822367
27,63.07661685017088,4.597072727474248
28,25.647477214650557,7.185881841872546
29,12.502438079255551,4.33452689070989
30,7.362255205664849,7.362255205664849
31,5.651159098209457,5.651159098209457
32,8.818536767378552,8.818536767378552
33,5.2706808700208425,5.2706808700208425
34,4.881532632439133,2.640968625432396
35,8.953357676764476,1.2097031209568632
36,63.319364031902104,3.8406871634582056
37,5.414544558444405,5.414544558444405
38,71.77053513993438,9.588610842511233
39,5.618408280465359,5.618408280465359
40,260.65268962974164,8.98170411859636
41,8.913393762210282,8.913393762210282
42,54.535085090064136,8.976198990247386
43,46.496487330173494,1.5197874089506878
44,16.62564922700371,1.6586884495190097
45,1.1366123698213022,1.1366123698213022
46,8.923671276757743,8.923671276757743
47,9.8138421377391,9.8138421377391
48,2.3183774356648708,2.1796583052770497
49,6.911465113055065,6.709148397312904
50,8.200779982890637,1.527694630784375
51,11.350019033255245,6.3440791821627665
52,3.8215018097676756,2.189990766405023
53,9.722424321074,9.722424321074
54,8.477759879987271,8.06792172443198
55,3.969277272592401,3.969277272592401
56,45.41028033752259,4.86627411304324
57,3.312516689045789,3.312516689045789
58,76.05113650205264,3.8274822949751397
59,213.54703453932274,8.667695702264405
60,22.466648656458254,2.509731682152502
61,40.94957282860069,1.6428906922853639
62,7.668287532380309,2.016151629167043
63,7.130498127113584,7.130498127113584
64,5.359447492366935,5.359447492366935
65,9.634692088480879,1.8504498079000442
66,36.481309149437394,3.574027843210024
67,15.144553608922903,1.6872302232732272
68,10.81325704649726,3.075034201846646
69,14.137733106859054,2.827065049623012
70,23.519006698590115,1.1840470437494768
